id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,91444.0,1813563087787,2.04288,92756.0,87737.0,108786.0,67.81,06-03-2025 17-03-26
ethereum,2298.84,277346900131,3.3616,2317.43,2168.29,4878.26,0.432979,06-03-2025 17-03-26
ripple,2.62,152029268984,4.97046,2.63,2.43,3.4,0.00268621,06-03-2025 17-03-26
tether,0.999938,142709675171,0.00545,1.0,0.999686,1.32,0.572521,06-03-2025 17-03-26
binancecoin,604.04,88148478568,0.85676,611.32,586.85,788.84,0.0398177,06-03-2025 17-03-26
solana,152.0,77235814354,2.6964,152.53,140.61,293.31,0.500801,06-03-2025 17-03-26
usd-coin,0.999872,57244986177,-0.00166,0.999989,0.99977,1.17,0.877647,06-03-2025 17-03-26
cardano,0.955471,34359156566,-4.33865,1.005,0.936252,3.09,0.01925275,06-03-2025 17-03-26
dogecoin,0.210615,31253717357,3.32207,0.218602,0.19851,0.731578,8.69e-05,06-03-2025 17-03-26
staked-ether,2297.11,21582774417,3.22114,2314.43,2167.64,4829.57,482.9,06-03-2025 17-03-26
tron,0.242432,20885836747,-0.15621,0.246693,0.241533,0.431288,0.00180434,06-03-2025 17-03-26
pi-network,1.87,13151230907,-4.97323,1.98,1.85,2.99,0.615725,06-03-2025 17-03-26
wrapped-bitcoin,91114.0,11762100282,1.80056,92472.0,87622.0,108368.0,3139.17,06-03-2025 17-03-26
chainlink,17.5,11168267115,9.01967,17.59,15.59,52.7,0.148183,06-03-2025 17-03-26
hedera-hashgraph,0.249789,10481246540,-2.70504,0.256734,0.242288,0.569229,0.00986111,06-03-2025 17-03-26
wrapped-steth,2751.82,9660352761,3.17493,2768.58,2595.07,7256.02,558.54,06-03-2025 17-03-26
stellar,0.30792,9459504186,0.53925,0.308925,0.295942,0.875563,0.00047612,06-03-2025 17-03-26
avalanche-2,22.22,9204951659,5.93265,22.45,20.14,144.96,2.8,06-03-2025 17-03-26
leo-token,9.91,9160455248,0.02845,10.03,9.75,10.07,0.799859,06-03-2025 17-03-26
sui,2.69,8526732800,6.16604,2.71,2.46,5.35,0.364846,06-03-2025 17-03-26
usds,1.0,8233492100,0.01001,1.003,0.994858,1.057,0.948265,06-03-2025 17-03-26
litecoin,107.74,8148363221,3.02544,112.65,100.75,410.26,1.15,06-03-2025 17-03-26
shiba-inu,1.355e-05,7985246300,2.27546,1.379e-05,1.298e-05,8.616e-05,5.6366e-11,06-03-2025 17-03-26
bitcoin-cash,397.22,7879630800,4.76239,415.5,375.88,3785.82,76.93,06-03-2025 17-03-26
the-open-network,3.07,7609053650,1.37556,3.08,3.01,8.25,0.519364,06-03-2025 17-03-26
polkadot,4.58,6976793279,3.90458,4.65,4.32,54.98,2.7,06-03-2025 17-03-26
mantra-dao,7.02,6843839546,-3.34455,7.3,6.88,8.99,0.01726188,06-03-2025 17-03-26
weth,2297.87,6719611979,3.53513,2316.99,2165.75,4799.89,82.1,06-03-2025 17-03-26
hyperliquid,17.27,5766983966,-0.42539,17.71,16.56,34.96,3.81,06-03-2025 17-03-26
